singular,plural,var_sing1,var_sing2,var_sing3,var_sing4,var_plur1,var_plur2,var_plur3,var_plur4
a,as,,,,,,,,
aca,acas,aca,arraca,,,acas,arracas,,
acha,achas,acha,aracha,,,achas,arachas,,
acho,achos,acho,aracho,,,achos,arachos,,
aco,acos,aco,arraco,,,acos,arracos,,
ada,adas,,,,,,,,
ado,ados,,,,,,,,
agoga,agogas,,,,,,,,
agogia,agogias,,,,,,,,
agogo,agogos,,,,,,,,
aica,aicas,,,,,,,,
aico,aicos,,,,,,,,
aja,ajas,,,,,,,,
aje,ajes,,,,,,,,
ajo,ajos,ajo,strajo,,,ajos,strajos,,
al,ales,,,,,,,,
algia,algias,,,,,,,,
alla,allas,,,,,,,,
ambre,ambres,,,,,,,,
ambrera,ambreras,,,,,,,,
amen,ámenes,,,,,,,,
án,anes,,,,,,,,
ana,anas,,,,,,,,
anca,ancas,,,,,,,,
anco,ancos,,,,,,,,
andria,andrias,,,,,,,,
áneo,áneos,,,,,,,,
anga,angas,,,,,,,,
ango,angos,,,,,,,,
ano,anos,ano,iano,tano,,anos,ianos,tanos,
ántropa,ántropas,,,,,,,,
antropía,antropías,,,,,,,,
ántropo,ántropos,,,,,,,,
aña,añas,,,,,,,,
año,años,,,,,,,,
ar,ares,,,,,,,,
araz,araces,,,,,,,,
arca,arcas,,,,,,,,
arda,ardas,,,,,,,,
ardo,ardos,,,,,,,,
aria,arias,aria,ataria,,,arias,atarias,,
ario,arios,ario,atario,,,arios,atarios,,
aritmo,aritmos,,,,,,,,
arquía,arquías,,,,,,,,
asa,asas,,,,,,,,
astenia,astenias,,,,,,,,
asteno,astenos,,,,,,,,
astra,astras,,,,,,,,
astro,astros,astro,astre,,,astros,astres,,
ata,atas,,,,,,,,
ate,ates,,,,,,,,
átil,átiles,,,,,,,,
ato,atos,,,,,,,,
ava,avas,,,,,,,,
avo,avos,,,,,,,,
aza,azas,,,,,,,,
azgo,azgos,,,,,,,,
azo,azos,,,,,,,,
azón,azones,,,,,,,,
bara,baras,,,,,,,,
baro,baros,,,,,,,,
bio,bios,,,,,,,,
blasto,blastos,,,,,,,,
ble,bles,,,,,,,,
cardia,cardias,,,,,,,,
cardio,cardios,,,,,,,,
carpio,carpios,,,,,,,,
céfala,céfalas,,,,,,,,
cefalia,cefalias,,,,,,,,
céfalo,céfalos,,,,,,,,
cele,celes,,,,,,,,
centesis,centesis,,,,,,,,
cida,cidas,,,,,,,,
cidio,cidios,,,,,,,,
cigosis,cigosis,,,,,,,,
cigotia,cigotias,,,,,,,,
ción,ciones,ción,sión,ión,zón,ciones,siones,iones,zones
cito,citos,,,,,,,,
coco,cocos,,,,,,,,
cola,colas,,,,,,,,
colía,colías,,,,,,,,
cóndilo,cóndilos,,,,,,,,
cosmo,cosmos,,,,,,,,
cracia,cracias,,,,,,,,
crata,cratas,,,,,,,,
crina,crinas,,,,,,,,
croma,cromas,,,,,,,,
cromía,cromías,,,,,,,,
cromo,cromos,,,,,,,,
cronía,cronías,,,,,,,,
crono,cronos,,,,,,,,
cultor,cultores,,,,,,,,
cultora,cultoras,,,,,,,,
cultura,culturas,,,,,,,,
da,das,,,,,,,,
dáctilo,dáctilos,,,,,,,,
dad,dades,dad,tad,bilidad,,dades,tades,bilidades,
demia,demias,,,,,,,,
dera,deras,,,,,,,,
dermia,dermias,,,,,,,,
dermo,dermos,,,,,,,,
dero,deros,,,,,,,,
dinamo,dinamos,,,,,,,,
do,dos,,,,,,,,
dor,dores,dor,tor,or,,dores,tores,ores,
dora,doras,dora,tora,ora,,doras,toras,oras,
doxia,doxias,,,,,,,,
ducto,ductos,,,,,,,,
dumbre,dumbres,,,,,,,,
dura,duras,dura,tura,sura,ura,duras,turas,suras,uras
e,es,,,,,,,,
ea,eas,,,,,,,,
ectasia,ectasias,,,,,,,,
ectomía,ectomías,,,,,,,,
eda,edas,eda,areda,,,edas,aredas,,
edo,edos,edo,aredo,edal,,edos,aredos,edales,
edro,edros,,,,,,,,
ega,egas,,,,,,,,
ego,egos,,,,,,,,
eja,ejas,,,,,,,,
ejo,ejos,,,,,,,,
ela,elas,,,,,,,,
elo,elos,,,,,,,,
emesia,emesias,,,,,,,,
emesis,emesis,,,,,,,,
emia,emias,,,,,,,,
ena,enas,,,,,,,,
enca,encas,,,,,,,,
enco,encos,,,,,,,,
enga,engas,,,,,,,,
engo,engos,,,,,,,,
eno,enos,,,,,,,,
énquima,énquimas,,,,,,,,
ense,enses,ense,iense,,,enses,ienses,,
enterio,enterios,,,,,,,,
ento,entos,ento,iento,,,entos,ientos,,
eña,eñas,,,,,,,,
eño,eños,,,,,,,,
eo,eos,,,,,,,,
era,eras,,,,,,,,
ergia,ergias,,,,,,,,
ería,erías,,,,,,,,
erio,erios,,,,,,,,
erío,eríos,,,,,,,,
ero,eros,,,,,,,,
és,eses,,,,,,,,
esa,esas,,,,,,,,
ésima,ésimas,,,,,,,,
ésimo,ésimos,,,,,,,,
esperma,espermas,,,,,,,,
estesia,estesias,,,,,,,,
estesio,estesios,,,,,,,,
eta,etas,eta,ceta,,,etas,cetas,,
ete,etes,ete,cete,,,etes,cetes,,
eto,etos,,,,,,,,
ez,eces,,,,,,,,
eza,ezas,,,,,,,,
ezna,eznas,,,,,,,,
ezno,eznos,,,,,,,,
faga,fagas,,,,,,,,
fagia,fagias,,,,,,,,
fago,fagos,,,,,,,,
fanía,fanías,,,,,,,,
fármaco,fármacos,,,,,,,,
fasia,fasias,,,,,,,,
fera,feras,,,,,,,,
fero,feros,,,,,,,,
fila,filas,,,,,,,,
filia,filias,,,,,,,,
filo,filos,,,,,,,,
fisia,fisias,,,,,,,,
fisio,fisios,,,,,,,,
fito,fitos,,,,,,,,
fobia,fobias,,,,,,,,
fonía,fonías,,,,,,,,
fono,fonos,,,,,,,,
fora,foras,,,,,,,,
foro,foros,,,,,,,,
frenia,frenias,,,,,,,,
fuga,fugas,,,,,,,,
fugo,fugos,,,,,,,,
galia,galias,,,,,,,,
gamia,gamias,,,,,,,,
gena,genas,,,,,,,,
génesis,génesis,,,,,,,,
genia,genias,,,,,,,,
génita,génitas,,,,,,,,
génito,génitos,,,,,,,,
geno,genos,,,,,,,,
geo,geos,,,,,,,,
ginia,ginias,,,,,,,,
gnosia,gnosias,,,,,,,,
gono,gonos,,,,,,,,
grafa,grafas,,,,,,,,
grafía,grafías,,,,,,,,
grafo,grafos,,,,,,,,
grama,gramas,,,,,,,,
gramo,gramos,,,,,,,,
ia,ias,,,,,,,,
ía,ías,,,,,,,,
iatra,iatras,,,,,,,,
iatría,iatrías,,,,,,,,
iatro,iatros,,,,,,,,
ica,icas,ica,tica,,,icas,ticas,,
iche,iches,,,,,,,,
icia,icias,,,,,,,,
icie,icies,,,,,,,,
icio,icios,,,,,,,,
ico,icos,ico,tico,,,icos,ticos,,
ida,idas,,,,,,,,
ido,idos,,,,,,,,
ija,ijas,,,,,,,,
ijo,ijos,,,,,,,,
il,iles,,,,,,,,
illa,illas,,,,,,,,
illo,illos,,,,,,,,
ilo,ilos,,,,,,,,
ín,ines,,,,,,,,
ina,inas,,,,,,,,
inga,ingas,,,,,,,,
ingo,ingos,,,,,,,,
ino,inos,,,,,,,,
io,ios,,,,,,,,
ío,íos,,,,,,,,
ionda,iondas,,,,,,,,
iondo,iondos,,,,,,,,
ismo,ismos,,,,,,,,
ista,istas,,,,,,,,
ística,ísticas,,,,,,,,
ístico,ísticos,,,,,,,,
ita,itas,,,,,,,,
itis,itis,,,,,,,,
ito,itos,,,,,,,,
iva,ivas,iva,ativa,itiva,,ivas,ativas,itivas,
ivo,ivos,ivo,ativo,itivo,,ivos,ativos,itivos,
iza,izas,,,,,,,,
izo,izos,,,,,,,,
lalia,lalias,,,,,,,,
landia,landias,,,,,,,,
latría,latrías,,,,,,,,
lexia,lexias,,,,,,,,
lisia,lisias,,,,,,,,
lisis,lisis,,,,,,,,
lito,litos,,,,,,,,
loga,logas,,,,,,,,
logía,logías,,,,,,,,
logo,logos,,,,,,,,
mana,manas,,,,,,,,
mancia,mancias,mancia,mancía,,,mancias,mancías,,
manía,manías,,,,,,,,
mano,manos,,,,,,,,
maquia,maquias,,,,,,,,
mastía,mastías,,,,,,,,
megalia,megalias,,,,,,,,
menta,mentas,,,,,,,,
metría,metrías,,,,,,,,
metro,metros,,,,,,,,
miento,mientos,miento,mento,,,mientos,mentos,,
mnesia,mnesias,,,,,,,,
morfia,morfias,,,,,,,,
ncia,ncias,ncia,nza,,,ncias,nzas,,
nema,nemas,,,,,,,,
nomia,nomias,,,,,,,,
nomía,nomías,,,,,,,,
nta,ntas,sumarle el conteo de enta(s),,,,,,,
nte,ntes,sumarle el conteo de ente(s),,,,,,,
o,os,,,,,,,,
odoncia,odoncias,,,,,,,,
odonte,odontes,,,,,,,,
oide,oides,,,,,,,,
ol,oles,,,,,,,,
oma,omas,oma,ema,ma,,omas,emas,mas,
ón,ones,,,,,,,,
ona,onas,,,,,,,,
onimia,onimias,,,,,,,,
ónimo,ónimos,,,,,,,,
opía,opías,,,,,,,,
opsia,opsias,,,,,,,,
opsis,opsis,,,,,,,,
osa,osas,,,,,,,,
osmia,osmias,,,,,,,,
osmosis,osmosis,,,,,,,,
oso,osos,,,,,,,,
ota,otas,,,,,,,,
ote,otes,,,,,,,,
otia,otias,,,,,,,,
óxido,óxidos,,,,,,,,
para,paras,,,,,,,,
paro,paros,,,,,,,,
patía,patías,,,,,,,,
pedia,pedias,,,,,,,,
pepsia,pepsias,,,,,,,,
peya,peyas,,,,,,,,
peyesis,peyesis,,,,,,,,
piteco,pitecos,,,,,,,,
plasia,plasias,,,,,,,,
plastía,plastías,plastía,plastia,,,plastías,plastias,,
plejia,plejias,,,,,,,,
pleuro,pleuros,,,,,,,,
plexia,plexias,,,,,,,,
pnea,pneas,,,,,,,,
podo,podos,,,,,,,,
poli,polis,,,,,,,,
polio,polios,,,,,,,,
praxia,praxias,,,,,,,,
praxis,praxis,,,,,,,,
quilia,quilias,,,,,,,,
quiria,quirias,,,,,,,,
quiro,quiros,,,,,,,,
rra,rras,rra,orra,arra,orria,rras,orras,arras,orrias
rragia,rragias,,,,,,,,
rrea,rreas,,,,,,,,
rreo,rreos,,,,,,,,
rro,rros,rro,orro,arro,orrio,rros,orros,arros,orrios
saurio,saurios,,,,,,,,
sca,scas,,,,,,,,
sco,scos,,,,,,,,
scopía,scopías,scopía,scopia,,,scopías,scopias,,
scopio,scopios,,,,,,,,
sema,semas,,,,,,,,
semia,semias,,,,,,,,
sepsia,sepsias,,,,,,,,
sfera,sferas,,,,,,,,
sialia,sialias,,,,,,,,
sis,sis,,,,,,,,
sofa,sofas,,,,,,,,
sofía,sofías,,,,,,,,
sofo,sofos,,,,,,,,
soma,somas,,,,,,,,
stasia,stasias,,,,,,,,
stasis,stasis,,,,,,,,
stato,statos,,,,,,,,
stico,sticos,,,,,,,,
stiquio,stiquios,,,,,,,,
stoma,stomas,,,,,,,,
stomo,stomos,,,,,,,,
ta,tas,,,,,,,,
tanasia,tanasias,,,,,,,,
taxia,taxias,,,,,,,,
teca,tecas,,,,,,,,
tecnia,tecnias,,,,,,,,
teco,tecos,,,,,,,,
telia,telias,,,,,,,,
terapia,terapias,,,,,,,,
terma,termas,,,,,,,,
termia,termias,,,,,,,,
termo,termos,,,,,,,,
tipia,tipias,,,,,,,,
tipo,tipos,,,,,,,,
tocia,tocias,,,,,,,,
toma,tomas,,,,,,,,
tomía,tomías,,,,,,,,
tomo,tomos,,,,,,,,
tonía,tonías,,,,,,,,
tono,tonos,,,,,,,,
topo,topos,,,,,,,,
tórax,tórax,,,,,,,,
toria,torias,,,,,,,,
torio,torios,,,,,,,,
triz,trices,,,,,,,,
trofa,trofas,,,,,,,,
trofia,trofias,,,,,,,,
trofo,trofos,,,,,,,,
tropía,tropías,,,,,,,,
itud,itudes,tud,itud,ud,,tudes,itudes,udes,
uca,ucas,,,,,,,,
ucha,uchas,,,,,,,,
ucho,uchos,,,,,,,,
uco,ucos,,,,,,,,
uda,udas,,,,,,,,
udo,udos,,,,,,,,
uela,uelas,uela,huela,zuela,ezuela,uelas,huelas,zuelas,ezuelas
,,ecezuela,achuela,ichuela,,ecezuelas,achuelas,ichuelas,
uelo,uelos,uelo,huelo,zuelo,ezuelo,uelos,huelos,zuelos,ezuelos
,,ecezuelo,achuelo,ichuelo,,ecezuelos,achuelos,ichuelos,
umbre,umbres,,,,,,,,
urgia,urgias,,,,,,,,
urgo,urgos,,,,,,,,
uria,urias,,,,,,,,
uro,uros,,,,,,,,
zoo,zoos,,,,,,,,
